manufacturer,name,MSRP(UK),MSRP(NL),MSRP(DE),ry,capacity,useable,power,toque,weight,top,accel,range,economy
Audi,e-tron 50 quattro,59900,62700,69100,2019.11,71,64.7,230,540,2370,190,14.7,285,4.4
Audi,e-tron 55 quattro,71560,80400,80900,2019.12,95,86.5,300,664,2490,200,17.5,370,4.3
Audi,e-tron Sportback 50 quattro,63500,65100,71350,2020.06,71,64.7,230,540,2370,190,14.7,290,4.5
Audi,e-tron Sportback 55 quattro,79900,82800,83150,2020.04,95,86.5,300,664,2480,200,17.5,385,4.4
BMW,i3 120 Ah,32180,42411,38000,2018.1,42.2,37.9,125,250,1345,150,13.7,235,6.2
BMW,i3s 120 Ah,34670,46106,41600,2018.1,42.2,37.9,135,270,1365,160,14.5,230,6.1
Citroen,C-Zero,17520,22360,21800,2016.04,16,14.5,47,196,1100,130,6.3,90,6.2
DS,3 Crossback E-Tense,32850,43190,39390,2020.01,50,46,100,260,1498,150,11.5,255,5.6
Hyundai,IONIQ Electric,29950,36995,34900,2019.1,40.4,38.3,100,295,1602,165,10.3,250,6.5
Hyundai,Kona Electric 39 kWh,,36795,34400,2019.11,42,39.2,100,395,1535,155,10.1,255,6.5
Hyundai,Kona Electric 64 kWh,35600,41595,41400,2019.11,67.5,64,150,395,1685,167,12.7,405,6.3
Jaguar,I-Pace,64495,81800,77300,2018.03,90,84.7,294,696,2133,200,20.8,370,4.4
Kia,e-Niro 39 kWh,,,35290,2020.01,42,39.2,100,395,1592,155,10.2,240,6.1
Kia,e-Niro 64 kWh,34995,44995,39090,2020.01,67.1,64,150,395,1737,167,12.8,375,5.8
Kia,e-Soul 39 kWh,,,33990,2020.01,42,39.2,100,395,1593,156,10.4,230,5.9
Kia,e-Soul 64 kWh,34295,42985,37790,2020.01,67.1,64,150,395,1657,167,12.7,370,5.8
Mercedes,EQC 400 4MATIC,65640,80995,71281,2019.07,85,80,300,760,2395,180,19.6,380,4.7
MG,ZS EV,22495,30985,30000,2019.09,44.5,44.5,105,353,1491,140,12.2,230,5.2
Mini,Cooper SE,24900,34900,32500,2020.01,32.6,28.9,135,270,1440,150,13.7,180,6.2
Nissan,e-NV200 Evalia,29755,44689,43433,2018.01,40,38,80,254,1689,123,7.1,190,5
Nissan,Leaf,26845,36990,29900,2018.02,40,36,110,320,1580,144,12.7,220,6.1
Nissan,Leaf e+,33295,45850,38200,2019.06,62,56,160,340,1731,157,13.7,330,5.9
Opel,Ampera-e,,34149,42990,2017.09,62.2,58,150,360,1591,150,13.7,345,6
Peugeot,e-2008 SUV,28650,40930,35250,2020.03,50,46,100,260,1548,150,11.8,255,5.6
Peugeot,e-208,25550,36250,30450,2020.02,50,46,100,260,1455,150,12.3,290,6.3
Peugeot,iOn,16995,22360,21800,2016.04,16,14.5,47,196,1100,130,6.3,90,6.2
Peugeot,Partner Tepee Electric,,30470,,2017.08,22.5,20.5,49,200,1579,110,5.1,100,4.9
Porsche,Taycan 4S,83367,109900,105607,2020.05,79.2,71,390,640,2140,250,25,370,5.2
Porsche,Taycan 4S Plus,87980,116786,112128,2020.04,93.4,83.7,420,650,2220,250,25,430,5.1
Porsche,Taycan Turbo,115858,157100,152136,2020.01,93.4,83.7,500,850,2305,260,31.3,395,4.7
Porsche,Taycan Turbo S,138826,191000,185456,2020.01,93.4,83.7,560,1050,2295,260,35.7,380,4.5
Renault,Kangoo Maxi ZE 33,25478,37985,38000,2017.07,33,31,44,225,1530,130,4.5,165,5.3
Renault,Zoe ZE40 R110,,,29990,2019.11,54.7,41,80,225,1502,135,8.8,255,6.2
Renault,Zoe ZE50 R110,26170,33590,31990,2019.11,54.7,52,80,225,1475,135,8.8,320,6.1
Renault,Zoe ZE50 R135,28120,35190,33990,2019.11,54.7,52,100,245,1475,140,10.5,315,6.1
SEAT,Mii Electric,19800,23400,20650,2020.02,36.8,32.3,61,212,1235,130,8.1,195,6
Skoda,CITIGOe iV,17455,23290,24990,2020.01,36.8,32.3,61,212,1235,130,8.1,195,6
Smart,EQ forfour,17785,23995,22600,2020.01,17.6,16.7,60,160,1125,130,7.9,95,5.7
Smart,EQ fortwo cabrio,20920,26995,25200,2020.01,17.6,16.7,60,160,1050,130,8.4,95,5.7
Smart,EQ fortwo coupe,17350,23995,21940,2020.01,17.6,16.7,60,160,1020,130,8.6,100,6
Tesla,Model 3 Long Range Dual Motor,46990,59995,54770,2019.02,75,72.5,330,600,1847,233,21.7,460,6.3
Tesla,Model 3 Long Range Performance,56490,65595,58770,2019.02,75,72.5,430,750,1847,261,29.4,445,6.1
Tesla,Model 3 Standard Range Plus,40490,49995,46770,2019.04,50,47.5,260,500,1684,225,17.9,310,6.5
Tesla,Model S Long Range,77980,84005,86800,2019.06,100,95,350,480,2215,250,26.3,525,5.5
Tesla,Model S Performance,92980,101005,102700,2019.07,100,95,615,1000,2241,261,40,510,5.4
Tesla,Model X Long Range,82980,90005,91700,2019.06,100,95,350,750,2459,250,21.7,460,4.8
Tesla,Model X Performance,97980,107005,107600,2019.07,100,95,615,1000,2509,250,35.7,445,4.7
Volkswagen,e-Golf,28075,34295,31900,2017.05,35.8,32,100,290,1540,150,10.4,190,6
Volkswagen,e-Up!,20195,23475,21975,2020.01,36.8,32.3,61,210,1160,130,8.4,200,6.2
