"Brand","Model","Model.year","Price","Voltage","Power","Torque","Curb.weight","Battery.capacity","Top.speed","Acceleration.from.0.to.100.km.h","NEDC..New.European.Driving.Cycle.","EPA..Electric.car.range.and.efficiency.","WLTP..Worldwide.harmonized.Light.vehicles.Test.Procedure."
"Audi","e-tron Sportback 55 quattro",2020,NA,396,265,561,2490,95,200,6.6,NA,NA,436
"Audi","e-tron 55 quattro",2020,"EUR 80,900 (EU, Dec 2019)",396,265,561,2490,95,200,6.6,NA,NA,436
"Audi","e-tron Sportback 50 quattro",2020,"EUR 71,350 (EU, Nov 2019)",396,230,540,2370,71,190,6.8,NA,NA,347
"Audi","e-tron 50 quattro",2020,"EUR 69,100 (EU, Nov 2019)",396,230,540,NA,71,190,6.8,NA,NA,336
"Audi","Q4 e-tron",2019,NA,NA,225,460,NA,82,180,6.3,NA,NA,450
"Audi","e-tron 55 quattro",2019,"GBP 72,310 (UK, Jul 2019)EUR 80,900 (DE, Nov 2019)EUR 82,495 (ES, Jul 2019)EUR 83,880 (FR, Jul 2019)EUR 87,200 (NL, Jul 2019)",396,265,561,2490,95,200,6.6,NA,NA,NA
"Audi","e-tron 55 quattro",2019,"USD 81,800 (USA, Jul 2019)",396,265,561,2490,95,200,5.7,NA,328.3,417
"Audi","e-tron 55 quattro",2019,"USD 74,800 (USA, Jul 2019)",396,265,561,2490,95,200,5.7,NA,NA,NA
"BMW","i3s Edition RoadStyle",2020,"EUR 49,995 (NL, Oct 2019)",353,135,270,1379,42.2,160,7,NA,NA,NA
"BMW","i3s",2019,"USD 47,650 (USA, Jul 2019)GBP 37,840 (UK, Jul 2019)EUR 45,950 (NL, Jul 2019)EUR 41,600 (DE, Jul 2019)EUR 43,550 (FR, Jul 2019)EUR 43,650 (ES, Jul 2019)",353,135,270,1290,42.2,160,6.9,NA,NA,NA
"BMW","i3",2019,"USD 44,450 (USA, Jul 2019)GBP 35,350 (UK, Jul 2019)EUR 42,300 (NL, Jul 2019)EUR 38,000 (DE, Jul 2019)EUR 39,950 (FR, Jul 2019)EUR 39,900 (ES, Jul 2019)",352,125,250,1345,42.2,150,7.2,NA,NA,NA
"BMW","i3s",2018,NA,353,135,270,1265,33.2,160,6.9,NA,NA,NA
"BMW","i3",2018,NA,353,125,250,1245,33.2,150,7.3,NA,NA,NA
"BMW","i3",2017,NA,353,125,250,1245,33.2,150,7.3,300,183.5,NA
"BMW","i3",2016,NA,360,125,250,1195,22,125,7.2,NA,NA,NA
"BMW","i3",2015,NA,360,125,250,1195,22,125,7.2,NA,NA,NA
"BMW","i3",2014,NA,360,125,250,1195,22,125,7.2,NA,NA,NA
"Byton","M-Byte",2021,NA,NA,350,NA,2600,95,190,5.5,505,NA,435
"Byton","M-Byte",2021,NA,NA,200,NA,NA,95,190,7.5,550,NA,460
"Byton","M-Byte",2021,"EUR 54,000 (EU, Sep 2019)",NA,200,NA,2315,72,190,7.5,430,NA,360
"Chevrolet","Bolt EV",2020,"USD 37,495 (USA, Jul 2019)",350,150,360,1616,66,145,NA,NA,NA,NA
"Chevrolet","Bolt EV",2019,"USD 37,495 (USA, Jul 2019)",350,150,360,1625,60,145,NA,NA,NA,NA
"Chevrolet","Bolt EV",2018,"USD 37,495 (USA, May 2017)KRW 47,790,000 (South Korea, Dec 2017)",350,150,360,1625,60,145,NA,NA,NA,NA
"Chevrolet","Bolt EV",2017,"USD 37,495 (USA, Sep 2016)",350,150,360,1625,60,145,NA,NA,NA,NA
"Chevrolet","Spark EV",2016,"USD 25,120 (USA, Oct 2015)",400,105,444,1300,18.4,145,NA,NA,82,NA
"Chevrolet","Spark EV",2015,"USD 25,995 (USA, Apr 2015)USD 27,495 (USA, Jun 2014)",400,105,444,1300,18.4,145,NA,NA,82,NA
"Chevrolet","Spark EV",2014,"USD 27,495 (USA, May 2013)",NA,104,542,1346,21.3,145,NA,NA,82,NA
"e.GO","Life",2019,"EUR 19,900 (EU, Jul 2019)",230,60,NA,1210,23.5,142,NA,NA,NA,145
"e.GO","Life",2019,"EUR 17,400 (EU, Jul 2019)",230,40,NA,1170,17.5,123,NA,NA,NA,113
"e.GO","Life",2019,"EUR 15,900 (EU, Jul 2019)",230,20,NA,1150,14.5,112,NA,NA,NA,100
"FIAT","500e",2019,NA,364,83,200,1355,24,141,NA,NA,135,NA
"FIAT","500e",2016,NA,364,83,200,1355,24,137,NA,NA,135,NA
"FIAT","500e",2013,NA,364,83,200,1355,24,137,NA,NA,140,NA
"Ford","Mustang Mach-E",2021,"USD 46,595 (USA, Nov 2019)",NA,NA,NA,NA,75.7,NA,NA,NA,338,NA
"Ford","Mustang Mach-E",2021,"USD 43,895 (USA, Nov 2019)",NA,198,430,NA,75.7,NA,NA,NA,370.1,NA
"Ford","Mustang Mach-E",2021,"USD 53,300 (USA, Nov 2019)",NA,NA,NA,NA,75.7,NA,NA,NA,338,NA
"Ford","Mustang Mach-E",2021,"USD 50,600 (USA, Nov 2019)",NA,190,415,NA,75.7,NA,NA,NA,370.1,NA
